"Week","location","team","school","opp","school2"
"94",1,"Home","North Carolina","North Carolina","TCU","TCU"
"95",1,"Away","Fresno State","Fresno State","Kansas","Kansas"
"96",1,"Away","Sam Houston","Sam Houston","Western Kentucky","Western Kentucky"
"97",1,"Away","Stanford","Stanford","Hawai'i","Hawai'i"
"98",1,"Away","Kansas State","Kansas State","Iowa State","Iowa State"
"99",1,"Away","UT Martin","UT Martin","Oklahoma State","Oklahoma State"
"100",1,"Away","Alabama State","Alabama State","UAB","UAB"
"101",1,"Away","Buffalo","Buffalo","Minnesota","Minnesota"
"102",1,"Away","East Carolina","East Carolina","NC State","NC State"
"103",1,"Away","Jacksonville State","Jacksonville State","UCF","UCF"
"104",1,"Away","Miami (OH)","Miami (OH)","Wisconsin","Wisconsin"
"105",1,"Away","Nebraska","Nebraska","Cincinnati","Cincinnati"
"106",1,"Away","Stephen F. Austin","Stephen F. Austin","Houston","Houston"
"107",1,"Away","Lafayette","Lafayette","Bowling Green","Bowling Green"
"108",1,"Away","Wyoming","Wyoming","Akron","Akron"
"109",1,"Away","Delaware State","Delaware State","Delaware","Delaware"
"110",1,"Away","Central Michigan","Central Michigan","San José State","San José State"
"111",1,"Away","Stony Brook","Stony Brook","San Diego State","San Diego State"
"112",1,"Away","St. Francis (PA)","St. Francis (PA)","UL Monroe","UL Monroe"
"113",1,"Away","Ohio","Ohio","Rutgers","Rutgers"
"114",1,"Away","App State","App State","Charlotte","Charlotte"
"115",1,"Away","Georgia Tech","Georgia Tech","Colorado","Colorado"
"116",1,"Away","Tarleton State","Tarleton State","Army","Army"
"117",1,"Away","Wagner","Wagner","Kansas","Kansas"
"118",1,"Away","Kennesaw State","Kennesaw State","Wake Forest","Wake Forest"
"119",1,"Away","Toledo","Toledo","Kentucky","Kentucky"
"120",1,"Away","New Mexico","New Mexico","Michigan","Michigan"
"121",1,"Away","Nevada","Nevada","Penn State","Penn State"
"122",1,"Away","Lamar","Lamar","North Texas","North Texas"
"123",1,"Away","Austin Peay","Austin Peay","Middle Tennessee","Middle Tennessee"
"124",1,"Away","California","California","Oregon State","Oregon State"
"125",1,"Away","Texas","Texas","Ohio State","Ohio State"
"126",1,"Away","Marshall","Marshall","Georgia","Georgia"
"127",1,"Away","Southeast Missouri State","Southeast Missouri State","Arkansas State","Arkansas State"
"128",1,"Away","UNLV","UNLV","Sam Houston","Sam Houston"
"129",1,"Away","Long Island University","Long Island University","Florida","Florida"
"130",1,"Away","Alabama A&M","Alabama A&M","Arkansas","Arkansas"
"131",1,"Away","Alabama","Alabama","Florida State","Florida State"
"132",1,"Away","Robert Morris","Robert Morris","West Virginia","West Virginia"
"133",1,"Away","Portland State","Portland State","BYU","BYU"
"134",1,"Away","Tennessee","Tennessee","Syracuse","Syracuse"
"135",1,"Away","UTSA","UTSA","Texas A&M","Texas A&M"
"136",1,"Away","Charleston Southern","Charleston Southern","Vanderbilt","Vanderbilt"
"137",1,"Away","Eastern Michigan","Eastern Michigan","Texas State","Texas State"
"138",1,"Away","Auburn","Auburn","Baylor","Baylor"
"139",1,"Away","Bucknell","Bucknell","Air Force","Air Force"
"140",1,"Away","UTEP","UTEP","Utah State","Utah State"
"141",1,"Away","Temple","Temple","Massachusetts","Massachusetts"
"142",1,"Away","Boise State","Boise State","South Florida","South Florida"
"143",1,"Away","Duquesne","Duquesne","Pittsburgh","Pittsburgh"
"144",1,"Away","Georgia Southern","Georgia Southern","Fresno State","Fresno State"
"145",1,"Away","Rice","Rice","Louisiana","Louisiana"
"146",1,"Away","Illinois State","Illinois State","Oklahoma","Oklahoma"
"147",1,"Away","North Dakota","North Dakota","Kansas State","Kansas State"
"148",1,"Away","LSU","LSU","Clemson","Clemson"
"149",1,"Away","Morgan State","Morgan State","South Alabama","South Alabama"
"150",1,"Away","Nicholls","Nicholls","Troy","Troy"
"151",1,"Away","Georgia State","Georgia State","Ole Miss","Ole Miss"
"152",1,"Away","Coastal Carolina","Coastal Carolina","Virginia","Virginia"
"153",1,"Away","Mississippi State","Mississippi State","Southern Miss","Southern Miss"
"154",1,"Away","Abilene Christian","Abilene Christian","Tulsa","Tulsa"
"155",1,"Away","South Dakota","South Dakota","Iowa State","Iowa State"
"156",1,"Away","Northern Arizona","Northern Arizona","Arizona State","Arizona State"
"157",1,"Away","Central Connecticut","Central Connecticut","UConn","UConn"
"158",1,"Away","VMI","VMI","Navy","Navy"
"159",1,"Away","Hawai'i","Hawai'i","Arizona","Arizona"
"160",1,"Away","Northwestern","Northwestern","Tulane","Tulane"
"161",1,"Away","Utah","Utah","UCLA","UCLA"
"162",1,"Away","Maine","Maine","Liberty","Liberty"
"163",1,"Away","Missouri State","Missouri State","USC","USC"
"164",1,"Away","Ball State","Ball State","Purdue","Purdue"
"165",1,"Away","Fordham","Fordham","Boston College","Boston College"
"166",1,"Away","Old Dominion","Old Dominion","Indiana","Indiana"
"167",1,"Away","Montana State","Montana State","Oregon","Oregon"
"168",1,"Away","Florida Atlantic","Florida Atlantic","Maryland","Maryland"
"169",1,"Away","UAlbany","UAlbany","Iowa","Iowa"
"170",1,"Away","North Alabama","North Alabama","Western Kentucky","Western Kentucky"
"171",1,"Away","Western Michigan","Western Michigan","Michigan State","Michigan State"
"172",1,"Away","Western Illinois","Western Illinois","Illinois","Illinois"
"173",1,"Away","Elon","Elon","Duke","Duke"
"174",1,"Away","Weber State","Weber State","James Madison","James Madison"
"175",1,"Away","SE Louisiana","SE Louisiana","Louisiana Tech","Louisiana Tech"
"176",1,"Away","Idaho","Idaho","Washington State","Washington State"
"177",1,"Away","Arkansas-Pine Bluff","Arkansas-Pine Bluff","Texas Tech","Texas Tech"
"178",1,"Away","Colorado State","Colorado State","Washington","Washington"
"179",1,"Away","Chattanooga","Chattanooga","Memphis","Memphis"
"180",1,"Away","Merrimack","Merrimack","Kent State","Kent State"
"181",1,"Away","Eastern Kentucky","Eastern Kentucky","Louisville","Louisville"
"182",1,"Away","Bryant","Bryant","New Mexico State","New Mexico State"
"183",1,"Away","Holy Cross","Holy Cross","Northern Illinois","Northern Illinois"
"184",1,"Away","East Texas A&M","East Texas A&M","SMU","SMU"
"185",1,"Away","Central Arkansas","Central Arkansas","Missouri","Missouri"
"186",1,"Away","South Carolina","South Carolina","Virginia Tech","Virginia Tech"
"187",1,"Away","Notre Dame","Notre Dame","Miami","Miami"
"188",1,"Away","TCU","TCU","North Carolina","North Carolina"
"189",2,"Home","BYU","BYU","Stanford","Stanford"
"190",2,"Home","Cincinnati","Cincinnati","Bowling Green","Bowling Green"
"191",2,"Home","Charlotte","Charlotte","North Carolina","North Carolina"
"192",2,"Home","Florida Atlantic","Florida Atlantic","Florida A&M","Florida A&M"
"193",2,"Home","UCF","UCF","North Carolina A&T","North Carolina A&T"
