"Week","location","team","school","opp","school2"
"413",3,"Home","Rice","Rice","Prairie View A&M","Prairie View A&M"
"414",3,"Home","LSU","LSU","Florida","Florida"
"415",3,"Home","Purdue","Purdue","USC","USC"
"416",3,"Home","Tulane","Tulane","Duke","Duke"
"417",3,"Home","UCLA","UCLA","New Mexico","New Mexico"
"418",3,"Home","Missouri","Missouri","Louisiana","Louisiana"
"419",3,"Home","Ole Miss","Ole Miss","Arkansas","Arkansas"
"420",3,"Home","Kennesaw State","Kennesaw State","Merrimack","Merrimack"
"421",3,"Home","Bowling Green","Bowling Green","Liberty","Liberty"
"422",3,"Home","Ball State","Ball State","New Hampshire","New Hampshire"
"423",3,"Home","Coastal Carolina","Coastal Carolina","East Carolina","East Carolina"
"424",3,"Home","Arizona State","Arizona State","Texas State","Texas State"
"425",3,"Home","Cincinnati","Cincinnati","Northwestern State","Northwestern State"
"426",3,"Away","NC State","NC State","Wake Forest","Wake Forest"
"427",3,"Away","Colgate","Colgate","Syracuse","Syracuse"
"428",3,"Away","Kansas State","Kansas State","Arizona","Arizona"
"429",3,"Away","Monmouth","Monmouth","Charlotte","Charlotte"
"430",3,"Away","Clemson","Clemson","Georgia Tech","Georgia Tech"
"431",3,"Away","Buffalo","Buffalo","Kent State","Kent State"
"432",3,"Away","Morgan State","Morgan State","Toledo","Toledo"
"433",3,"Away","South Florida","South Florida","Miami","Miami"
"434",3,"Away","UConn","UConn","Delaware","Delaware"
"435",3,"Away","App State","App State","Southern Miss","Southern Miss"
"436",3,"Away","Old Dominion","Old Dominion","Virginia Tech","Virginia Tech"
"437",3,"Away","Samford","Samford","Baylor","Baylor"
"438",3,"Away","Oklahoma","Oklahoma","Temple","Temple"
"439",3,"Away","Navy","Navy","Tulsa","Tulsa"
"440",3,"Away","SMU","SMU","Missouri State","Missouri State"
"441",3,"Away","Murray State","Murray State","Georgia State","Georgia State"
"442",3,"Away","Alcorn State","Alcorn State","Mississippi State","Mississippi State"
"443",3,"Away","William & Mary","William & Mary","Virginia","Virginia"
"444",3,"Away","Washington State","Washington State","North Texas","North Texas"
"445",3,"Away","Portland State","Portland State","Hawai'i","Hawai'i"
"446",3,"Away","Vanderbilt","Vanderbilt","South Carolina","South Carolina"
"447",3,"Away","Minnesota","Minnesota","California","California"
"448",3,"Away","Boston College","Boston College","Stanford","Stanford"
"449",3,"Away","Southern","Southern","Fresno State","Fresno State"
"450",3,"Away","Air Force","Air Force","Utah State","Utah State"
"451",3,"Away","Memphis","Memphis","Troy","Troy"
"452",3,"Away","Akron","Akron","UAB","UAB"
"453",3,"Away","Idaho State","Idaho State","UNLV","UNLV"
"454",3,"Away","Middle Tennessee","Middle Tennessee","Nevada","Nevada"
"455",3,"Away","UTEP","UTEP","Texas","Texas"
"456",3,"Away","Pittsburgh","Pittsburgh","West Virginia","West Virginia"
"457",3,"Away","Incarnate Word","Incarnate Word","UTSA","UTSA"
"458",3,"Away","Norfolk State","Norfolk State","Rutgers","Rutgers"
"459",3,"Away","Ohio","Ohio","Ohio State","Ohio State"
"460",3,"Away","Houston Christian","Houston Christian","Nebraska","Nebraska"
"461",3,"Away","Utah","Utah","Wyoming","Wyoming"
"462",3,"Away","South Alabama","South Alabama","Auburn","Auburn"
"463",3,"Away","Wisconsin","Wisconsin","Alabama","Alabama"
"464",3,"Away","Richmond","Richmond","North Carolina","North Carolina"
"465",3,"Away","Central Michigan","Central Michigan","Michigan","Michigan"
"466",3,"Away","Abilene Christian","Abilene Christian","TCU","TCU"
"467",3,"Away","Villanova","Villanova","Penn State","Penn State"
"468",3,"Away","Youngstown State","Youngstown State","Michigan State","Michigan State"
"469",3,"Away","New Mexico State","New Mexico State","Louisiana Tech","Louisiana Tech"
"470",3,"Away","Florida Atlantic","Florida Atlantic","Florida International","Florida International"
"471",3,"Away","Colorado","Colorado","Houston","Houston"
"472",3,"Away","Western Michigan","Western Michigan","Illinois","Illinois"
"473",3,"Away","Towson","Towson","Maryland","Maryland"
"474",3,"Away","Massachusetts","Massachusetts","Iowa","Iowa"
"475",3,"Away","Georgia","Georgia","Tennessee","Tennessee"
"476",3,"Away","Iowa State","Iowa State","Arkansas State","Arkansas State"
"477",3,"Away","Texas A&M","Texas A&M","Notre Dame","Notre Dame"
"478",3,"Away","Indiana State","Indiana State","Indiana","Indiana"
"479",3,"Away","Oregon State","Oregon State","Texas Tech","Texas Tech"
"480",3,"Away","Oregon","Oregon","Northwestern","Northwestern"
"481",3,"Away","Eastern Kentucky","Eastern Kentucky","Marshall","Marshall"
"482",3,"Away","Jacksonville State","Jacksonville State","Georgia Southern","Georgia Southern"
"483",3,"Away","Eastern Michigan","Eastern Michigan","Kentucky","Kentucky"
"484",3,"Away","Prairie View A&M","Prairie View A&M","Rice","Rice"
"485",3,"Away","Florida","Florida","LSU","LSU"
"486",3,"Away","USC","USC","Purdue","Purdue"
"487",3,"Away","Duke","Duke","Tulane","Tulane"
"488",3,"Away","New Mexico","New Mexico","UCLA","UCLA"
"489",3,"Away","Louisiana","Louisiana","Missouri","Missouri"
"490",3,"Away","Arkansas","Arkansas","Ole Miss","Ole Miss"
"491",3,"Away","Merrimack","Merrimack","Kennesaw State","Kennesaw State"
"492",3,"Away","Liberty","Liberty","Bowling Green","Bowling Green"
"493",3,"Away","New Hampshire","New Hampshire","Ball State","Ball State"
"494",3,"Away","East Carolina","East Carolina","Coastal Carolina","Coastal Carolina"
"495",3,"Away","Texas State","Texas State","Arizona State","Arizona State"
"496",3,"Away","Northwestern State","Northwestern State","Cincinnati","Cincinnati"
"497",4,"Home","Charlotte","Charlotte","Rice","Rice"
"498",4,"Home","Tennessee","Tennessee","UAB","UAB"
"499",4,"Home","Notre Dame","Notre Dame","Purdue","Purdue"
"500",4,"Home","Oklahoma State","Oklahoma State","Tulsa","Tulsa"
"501",4,"Home","Baylor","Baylor","Arizona State","Arizona State"
"502",4,"Home","Kansas","Kansas","West Virginia","West Virginia"
"503",4,"Home","TCU","TCU","SMU","SMU"
"504",4,"Home","South Florida","South Florida","South Carolina State","South Carolina State"
"505",4,"Home","East Carolina","East Carolina","BYU","BYU"
"506",4,"Home","Memphis","Memphis","Arkansas","Arkansas"
"507",4,"Home","Western Kentucky","Western Kentucky","Nevada","Nevada"
"508",4,"Home","Florida International","Florida International","Delaware","Delaware"
"509",4,"Home","Louisiana Tech","Louisiana Tech","Southern Miss","Southern Miss"
"510",4,"Home","Middle Tennessee","Middle Tennessee","Marshall","Marshall"
"511",4,"Home","UTEP","UTEP","UL Monroe","UL Monroe"
"512",4,"Home","Washington State","Washington State","Washington","Washington"
"513",4,"Home","Georgia Southern","Georgia Southern","Maine","Maine"
"514",4,"Home","South Alabama","South Alabama","Coastal Carolina","Coastal Carolina"
"515",4,"Home","Texas State","Texas State","Nicholls","Nicholls"
"516",4,"Home","UConn","UConn","Ball State","Ball State"
"517",4,"Home","UCF","UCF","North Carolina","North Carolina"
"518",4,"Home","Missouri State","Missouri State","UT Martin","UT Martin"
"519",4,"Home","Jacksonville State","Jacksonville State","Murray State","Murray State"
"520",4,"Home","Liberty","Liberty","James Madison","James Madison"
"521",4,"Home","Army","Army","North Texas","North Texas"
"522",4,"Home","Florida State","Florida State","Kent State","Kent State"
"523",4,"Home","Georgia Tech","Georgia Tech","Temple","Temple"
"524",4,"Home","Louisville","Louisville","Bowling Green","Bowling Green"
"525",4,"Home","Duke","Duke","NC State","NC State"
"526",4,"Home","Clemson","Clemson","Syracuse","Syracuse"
"527",4,"Home","Virginia","Virginia","Stanford","Stanford"
"528",4,"Home","Virginia Tech","Virginia Tech","Wofford","Wofford"
"529",4,"Home","Miami","Miami","Florida","Florida"
"530",4,"Home","Colorado","Colorado","Wyoming","Wyoming"
"531",4,"Home","Utah","Utah","Texas Tech","Texas Tech"
"532",4,"Home","USC","USC","Michigan State","Michigan State"
"533",4,"Home","Indiana","Indiana","Illinois","Illinois"
"534",4,"Home","Nebraska","Nebraska","Michigan","Michigan"
"535",4,"Home","Rutgers","Rutgers","Iowa","Iowa"
"536",4,"Home","Wisconsin","Wisconsin","Maryland","Maryland"
"537",4,"Home","Oregon","Oregon","Oregon State","Oregon State"
"538",4,"Home","Kennesaw State","Kennesaw State","Arkansas State","Arkansas State"
"539",4,"Home","Miami (OH)","Miami (OH)","UNLV","UNLV"
"540",4,"Home","Ohio","Ohio","Gardner-Webb","Gardner-Webb"
"541",4,"Home","Akron","Akron","Duquesne","Duquesne"
"542",4,"Home","Buffalo","Buffalo","Troy","Troy"
"543",4,"Home","Central Michigan","Central Michigan","Wagner","Wagner"
"544",4,"Home","Eastern Michigan","Eastern Michigan","Louisiana","Louisiana"
"545",4,"Home","Western Michigan","Western Michigan","Toledo","Toledo"
"546",4,"Home","San Diego State","San Diego State","California","California"
"547",4,"Home","San José State","San José State","Idaho","Idaho"
"548",4,"Home","Colorado State","Colorado State","UTSA","UTSA"
"549",4,"Home","Hawai'i","Hawai'i","Fresno State","Fresno State"
"550",4,"Home","Utah State","Utah State","McNeese","McNeese"
"551",4,"Home","Air Force","Air Force","Boise State","Boise State"
"552",4,"Home","LSU","LSU","SE Louisiana","SE Louisiana"
"553",4,"Home","Missouri","Missouri","South Carolina","South Carolina"
"554",4,"Home","Ole Miss","Ole Miss","Tulane","Tulane"
"555",4,"Home","Oklahoma","Oklahoma","Auburn","Auburn"
"556",4,"Home","Vanderbilt","Vanderbilt","Georgia State","Georgia State"
"557",4,"Home","Mississippi State","Mississippi State","Northern Illinois","Northern Illinois"
"558",4,"Away","Rice","Rice","Charlotte","Charlotte"
"559",4,"Away","UAB","UAB","Tennessee","Tennessee"
"560",4,"Away","Purdue","Purdue","Notre Dame","Notre Dame"
"561",4,"Away","Tulsa","Tulsa","Oklahoma State","Oklahoma State"
"562",4,"Away","Arizona State","Arizona State","Baylor","Baylor"
"563",4,"Away","West Virginia","West Virginia","Kansas","Kansas"
"564",4,"Away","SMU","SMU","TCU","TCU"
"565",4,"Away","South Carolina State","South Carolina State","South Florida","South Florida"
"566",4,"Away","BYU","BYU","East Carolina","East Carolina"
"567",4,"Away","Arkansas","Arkansas","Memphis","Memphis"
"568",4,"Away","Nevada","Nevada","Western Kentucky","Western Kentucky"
"569",4,"Away","Delaware","Delaware","Florida International","Florida International"
"570",4,"Away","Southern Miss","Southern Miss","Louisiana Tech","Louisiana Tech"
"571",4,"Away","Marshall","Marshall","Middle Tennessee","Middle Tennessee"
"572",4,"Away","UL Monroe","UL Monroe","UTEP","UTEP"
"573",4,"Away","Washington","Washington","Washington State","Washington State"
"574",4,"Away","Maine","Maine","Georgia Southern","Georgia Southern"
"575",4,"Away","Coastal Carolina","Coastal Carolina","South Alabama","South Alabama"
"576",4,"Away","Nicholls","Nicholls","Texas State","Texas State"
"577",4,"Away","Ball State","Ball State","UConn","UConn"
"578",4,"Away","North Carolina","North Carolina","UCF","UCF"
"579",4,"Away","UT Martin","UT Martin","Missouri State","Missouri State"
"580",4,"Away","Murray State","Murray State","Jacksonville State","Jacksonville State"
"581",4,"Away","James Madison","James Madison","Liberty","Liberty"
"582",4,"Away","North Texas","North Texas","Army","Army"
"583",4,"Away","Kent State","Kent State","Florida State","Florida State"
"584",4,"Away","Temple","Temple","Georgia Tech","Georgia Tech"
"585",4,"Away","Bowling Green","Bowling Green","Louisville","Louisville"
"586",4,"Away","NC State","NC State","Duke","Duke"
"587",4,"Away","Syracuse","Syracuse","Clemson","Clemson"
"588",4,"Away","Stanford","Stanford","Virginia","Virginia"
"589",4,"Away","Wofford","Wofford","Virginia Tech","Virginia Tech"
"590",4,"Away","Florida","Florida","Miami","Miami"
"591",4,"Away","Wyoming","Wyoming","Colorado","Colorado"
"592",4,"Away","Texas Tech","Texas Tech","Utah","Utah"
"593",4,"Away","Michigan State","Michigan State","USC","USC"
"594",4,"Away","Illinois","Illinois","Indiana","Indiana"
"595",4,"Away","Michigan","Michigan","Nebraska","Nebraska"
"596",4,"Away","Iowa","Iowa","Rutgers","Rutgers"
"597",4,"Away","Maryland","Maryland","Wisconsin","Wisconsin"
"598",4,"Away","Oregon State","Oregon State","Oregon","Oregon"
"599",4,"Away","Arkansas State","Arkansas State","Kennesaw State","Kennesaw State"
"600",4,"Away","UNLV","UNLV","Miami (OH)","Miami (OH)"
"601",4,"Away","Gardner-Webb","Gardner-Webb","Ohio","Ohio"
"602",4,"Away","Duquesne","Duquesne","Akron","Akron"
"603",4,"Away","Troy","Troy","Buffalo","Buffalo"
"604",4,"Away","Wagner","Wagner","Central Michigan","Central Michigan"
"605",4,"Away","Louisiana","Louisiana","Eastern Michigan","Eastern Michigan"
"606",4,"Away","Toledo","Toledo","Western Michigan","Western Michigan"
"607",4,"Away","California","California","San Diego State","San Diego State"
"608",4,"Away","Idaho","Idaho","San José State","San José State"
"609",4,"Away","UTSA","UTSA","Colorado State","Colorado State"
"610",4,"Away","Fresno State","Fresno State","Hawai'i","Hawai'i"
"611",4,"Away","McNeese","McNeese","Utah State","Utah State"
"612",4,"Away","Boise State","Boise State","Air Force","Air Force"
"613",4,"Away","SE Louisiana","SE Louisiana","LSU","LSU"
"614",4,"Away","South Carolina","South Carolina","Missouri","Missouri"
"615",4,"Away","Tulane","Tulane","Ole Miss","Ole Miss"
"616",4,"Away","Auburn","Auburn","Oklahoma","Oklahoma"
"617",4,"Away","Georgia State","Georgia State","Vanderbilt","Vanderbilt"
"618",4,"Away","Northern Illinois","Northern Illinois","Mississippi State","Mississippi State"
"619",5,"Home","East Carolina","East Carolina","Army","Army"
"620",5,"Home","Arizona State","Arizona State","TCU","TCU"
"621",5,"Home","Virginia","Virginia","Florida State","Florida State"
"622",5,"Home","North Texas","North Texas","South Alabama","South Alabama"
"623",5,"Home","Kansas","Kansas","Cincinnati","Cincinnati"
"624",5,"Home","Texas A&M","Texas A&M","Auburn","Auburn"
"625",5,"Home","Buffalo","Buffalo","UConn","UConn"
"626",5,"Home","Navy","Navy","Rice","Rice"
"627",5,"Home","Minnesota","Minnesota","Rutgers","Rutgers"
"628",5,"Home","Ole Miss","Ole Miss","LSU","LSU"
"629",5,"Home","Wake Forest","Wake Forest","Georgia Tech","Georgia Tech"
"630",5,"Home","Southern Miss","Southern Miss","Jacksonville State","Jacksonville State"
"631",5,"Home","Iowa","Iowa","Indiana","Indiana"
"632",5,"Home","New Mexico","New Mexico","New Mexico State","New Mexico State"
"633",5,"Home","Washington","Washington","Ohio State","Ohio State"
"634",5,"Home","Illinois","Illinois","USC","USC"
"635",5,"Home","Boston College","Boston College","California","California"
"636",5,"Home","Boise State","Boise State","App State","App State"
"637",5,"Home","Vanderbilt","Vanderbilt","Utah State","Utah State"
"638",5,"Home","UL Monroe","UL Monroe","Arkansas State","Arkansas State"
"639",5,"Home","Toledo","Toledo","Akron","Akron"
"640",5,"Home","NC State","NC State","Virginia Tech","Virginia Tech"
"641",5,"Home","Northwestern","Northwestern","UCLA","UCLA"
"642",5,"Home","Northern Illinois","Northern Illinois","San Diego State","San Diego State"
"643",5,"Home","Oregon State","Oregon State","Houston","Houston"
"644",5,"Home","Texas","Texas","Sam Houston","Sam Houston"
"645",5,"Home","Air Force","Air Force","Hawai'i","Hawai'i"
"646",5,"Home","West Virginia","West Virginia","Utah","Utah"
"647",5,"Home","Oklahoma State","Oklahoma State","Baylor","Baylor"
"648",5,"Home","Kennesaw State","Kennesaw State","Middle Tennessee","Middle Tennessee"
"649",5,"Home","Arkansas","Arkansas","Notre Dame","Notre Dame"
"650",5,"Home","Central Michigan","Central Michigan","Eastern Michigan","Eastern Michigan"
"651",5,"Home","Florida Atlantic","Florida Atlantic","Memphis","Memphis"
"652",5,"Home","Tulsa","Tulsa","Tulane","Tulane"
"653",5,"Home","Stanford","Stanford","San José State","San José State"
"654",5,"Home","Miami (OH)","Miami (OH)","Lindenwood","Lindenwood"
"655",5,"Home","Penn State","Penn State","Oregon","Oregon"
"656",5,"Home","Syracuse","Syracuse","Duke","Duke"
"657",5,"Home","Colorado State","Colorado State","Washington State","Washington State"
"658",5,"Home","Iowa State","Iowa State","Arizona","Arizona"
"659",5,"Home","Louisiana","Louisiana","Marshall","Marshall"
"660",5,"Home","Missouri State","Missouri State","Western Kentucky","Western Kentucky"
"661",5,"Home","Mississippi State","Mississippi State","Tennessee","Tennessee"
"662",5,"Home","UTEP","UTEP","Louisiana Tech","Louisiana Tech"
"663",5,"Home","James Madison","James Madison","Georgia Southern","Georgia Southern"
"664",5,"Home","Old Dominion","Old Dominion","Liberty","Liberty"
"665",5,"Home","South Carolina","South Carolina","Kentucky","Kentucky"
"666",5,"Home","Pittsburgh","Pittsburgh","Louisville","Louisville"
"667",5,"Home","Colorado","Colorado","BYU","BYU"
"668",5,"Home","Georgia","Georgia","Alabama","Alabama"
"669",5,"Home","Ohio","Ohio","Bowling Green","Bowling Green"
"670",5,"Home","Kansas State","Kansas State","UCF","UCF"
"671",5,"Home","Western Michigan","Western Michigan","Rhode Island","Rhode Island"
"672",5,"Home","Missouri","Missouri","Massachusetts","Massachusetts"
"673",5,"Away","Army","Army","East Carolina","East Carolina"
"674",5,"Away","TCU","TCU","Arizona State","Arizona State"
"675",5,"Away","Florida State","Florida State","Virginia","Virginia"
"676",5,"Away","South Alabama","South Alabama","North Texas","North Texas"
"677",5,"Away","Cincinnati","Cincinnati","Kansas","Kansas"
"678",5,"Away","Auburn","Auburn","Texas A&M","Texas A&M"
"679",5,"Away","UConn","UConn","Buffalo","Buffalo"
"680",5,"Away","Rice","Rice","Navy","Navy"
"681",5,"Away","Rutgers","Rutgers","Minnesota","Minnesota"
"682",5,"Away","LSU","LSU","Ole Miss","Ole Miss"
"683",5,"Away","Georgia Tech","Georgia Tech","Wake Forest","Wake Forest"
"684",5,"Away","Jacksonville State","Jacksonville State","Southern Miss","Southern Miss"
"685",5,"Away","Indiana","Indiana","Iowa","Iowa"
"686",5,"Away","New Mexico State","New Mexico State","New Mexico","New Mexico"
"687",5,"Away","Ohio State","Ohio State","Washington","Washington"
"688",5,"Away","USC","USC","Illinois","Illinois"
"689",5,"Away","California","California","Boston College","Boston College"
"690",5,"Away","App State","App State","Boise State","Boise State"
"691",5,"Away","Utah State","Utah State","Vanderbilt","Vanderbilt"
"692",5,"Away","Arkansas State","Arkansas State","UL Monroe","UL Monroe"
"693",5,"Away","Akron","Akron","Toledo","Toledo"
"694",5,"Away","Virginia Tech","Virginia Tech","NC State","NC State"
"695",5,"Away","UCLA","UCLA","Northwestern","Northwestern"
"696",5,"Away","San Diego State","San Diego State","Northern Illinois","Northern Illinois"
"697",5,"Away","Houston","Houston","Oregon State","Oregon State"
"698",5,"Away","Sam Houston","Sam Houston","Texas","Texas"
"699",5,"Away","Hawai'i","Hawai'i","Air Force","Air Force"
"700",5,"Away","Utah","Utah","West Virginia","West Virginia"
"701",5,"Away","Baylor","Baylor","Oklahoma State","Oklahoma State"
"702",5,"Away","Middle Tennessee","Middle Tennessee","Kennesaw State","Kennesaw State"
"703",5,"Away","Notre Dame","Notre Dame","Arkansas","Arkansas"
"704",5,"Away","Eastern Michigan","Eastern Michigan","Central Michigan","Central Michigan"
"705",5,"Away","Memphis","Memphis","Florida Atlantic","Florida Atlantic"
"706",5,"Away","Tulane","Tulane","Tulsa","Tulsa"
"707",5,"Away","San José State","San José State","Stanford","Stanford"
"708",5,"Away","Lindenwood","Lindenwood","Miami (OH)","Miami (OH)"
"709",5,"Away","Oregon","Oregon","Penn State","Penn State"
"710",5,"Away","Duke","Duke","Syracuse","Syracuse"
"711",5,"Away","Washington State","Washington State","Colorado State","Colorado State"
"712",5,"Away","Arizona","Arizona","Iowa State","Iowa State"
"713",5,"Away","Marshall","Marshall","Louisiana","Louisiana"
"714",5,"Away","Western Kentucky","Western Kentucky","Missouri State","Missouri State"
"715",5,"Away","Tennessee","Tennessee","Mississippi State","Mississippi State"
"716",5,"Away","Louisiana Tech","Louisiana Tech","UTEP","UTEP"
"717",5,"Away","Georgia Southern","Georgia Southern","James Madison","James Madison"
"718",5,"Away","Liberty","Liberty","Old Dominion","Old Dominion"
"719",5,"Away","Kentucky","Kentucky","South Carolina","South Carolina"
"720",5,"Away","Louisville","Louisville","Pittsburgh","Pittsburgh"
"721",5,"Away","BYU","BYU","Colorado","Colorado"
"722",5,"Away","Alabama","Alabama","Georgia","Georgia"
"723",5,"Away","Bowling Green","Bowling Green","Ohio","Ohio"
"724",5,"Away","UCF","UCF","Kansas State","Kansas State"
"725",5,"Away","Rhode Island","Rhode Island","Western Michigan","Western Michigan"
"726",5,"Away","Massachusetts","Massachusetts","Missouri","Missouri"
"727",6,"Home","New Mexico State","New Mexico State","Sam Houston","Sam Houston"
"728",6,"Home","Delaware","Delaware","Western Kentucky","Western Kentucky"
"729",6,"Home","BYU","BYU","West Virginia","West Virginia"
"730",6,"Home","South Florida","South Florida","Charlotte","Charlotte"
"731",6,"Home","Navy","Navy","Air Force","Air Force"
"732",6,"Home","Florida","Florida","Texas","Texas"
"733",6,"Home","Maryland","Maryland","Washington","Washington"
"734",6,"Home","Wyoming","Wyoming","UNLV","UNLV"
"735",6,"Home","Alabama","Alabama","Vanderbilt","Vanderbilt"
"736",6,"Home","TCU","TCU","Colorado","Colorado"
"737",6,"Home","UCLA","UCLA","Penn State","Penn State"
"738",6,"Home","Northwestern","Northwestern","UL Monroe","UL Monroe"
"739",6,"Home","San Diego State","San Diego State","Colorado State","Colorado State"
"740",6,"Home","Cincinnati","Cincinnati","Iowa State","Iowa State"
"741",6,"Home","San José State","San José State","New Mexico","New Mexico"
"742",6,"Home","Ball State","Ball State","Ohio","Ohio"
"743",6,"Home","Troy","Troy","South Alabama","South Alabama"
"744",6,"Home","UAB","UAB","Army","Army"
"745",6,"Home","California","California","Duke","Duke"
"746",6,"Home","Rice","Rice","Florida Atlantic","Florida Atlantic"
"747",6,"Home","Purdue","Purdue","Illinois","Illinois"
"748",6,"Home","Florida State","Florida State","Miami","Miami"
"749",6,"Home","UCF","UCF","Kansas","Kansas"
"750",6,"Home","Buffalo","Buffalo","Eastern Michigan","Eastern Michigan"
"751",6,"Home","Houston","Houston","Texas Tech","Texas Tech"
"752",6,"Home","Louisville","Louisville","Virginia","Virginia"
"753",6,"Home","Texas A&M","Texas A&M","Mississippi State","Mississippi State"
"754",6,"Home","Notre Dame","Notre Dame","Boise State","Boise State"
"755",6,"Home","Akron","Akron","Central Michigan","Central Michigan"
"756",6,"Home","Oklahoma","Oklahoma","Kent State","Kent State"
"757",6,"Home","Memphis","Memphis","Tulsa","Tulsa"
"758",6,"Home","NC State","NC State","Campbell","Campbell"
"759",6,"Home","North Carolina","North Carolina","Clemson","Clemson"
"760",6,"Home","Arkansas State","Arkansas State","Texas State","Texas State"
"761",6,"Home","Baylor","Baylor","Kansas State","Kansas State"
"762",6,"Home","Fresno State","Fresno State","Nevada","Nevada"
"763",6,"Home","Pittsburgh","Pittsburgh","Boston College","Boston College"
"764",6,"Home","Temple","Temple","UTSA","UTSA"
"765",6,"Home","Ohio State","Ohio State","Minnesota","Minnesota"
"766",6,"Home","UConn","UConn","Florida International","Florida International"
"767",6,"Home","Georgia State","Georgia State","James Madison","James Madison"
"768",6,"Home","Nebraska","Nebraska","Michigan State","Michigan State"
"769",6,"Home","Virginia Tech","Virginia Tech","Wake Forest","Wake Forest"
"770",6,"Home","App State","App State","Oregon State","Oregon State"
"771",6,"Home","Michigan","Michigan","Wisconsin","Wisconsin"
"772",6,"Home","SMU","SMU","Syracuse","Syracuse"
"773",6,"Home","Georgia","Georgia","Kentucky","Kentucky"
"774",6,"Home","Massachusetts","Massachusetts","Western Michigan","Western Michigan"
"775",6,"Home","Northern Illinois","Northern Illinois","Miami (OH)","Miami (OH)"
"776",6,"Home","Old Dominion","Old Dominion","Coastal Carolina","Coastal Carolina"
"777",6,"Home","Arizona","Arizona","Oklahoma State","Oklahoma State"
"778",6,"Away","Sam Houston","Sam Houston","New Mexico State","New Mexico State"
"779",6,"Away","Western Kentucky","Western Kentucky","Delaware","Delaware"
"780",6,"Away","West Virginia","West Virginia","BYU","BYU"
"781",6,"Away","Charlotte","Charlotte","South Florida","South Florida"
"782",6,"Away","Air Force","Air Force","Navy","Navy"
"783",6,"Away","Texas","Texas","Florida","Florida"
"784",6,"Away","Washington","Washington","Maryland","Maryland"
"785",6,"Away","UNLV","UNLV","Wyoming","Wyoming"
"786",6,"Away","Vanderbilt","Vanderbilt","Alabama","Alabama"
"787",6,"Away","Colorado","Colorado","TCU","TCU"
"788",6,"Away","Penn State","Penn State","UCLA","UCLA"
"789",6,"Away","UL Monroe","UL Monroe","Northwestern","Northwestern"
"790",6,"Away","Colorado State","Colorado State","San Diego State","San Diego State"
"791",6,"Away","Iowa State","Iowa State","Cincinnati","Cincinnati"
"792",6,"Away","New Mexico","New Mexico","San José State","San José State"
"793",6,"Away","Ohio","Ohio","Ball State","Ball State"
"794",6,"Away","South Alabama","South Alabama","Troy","Troy"
"795",6,"Away","Army","Army","UAB","UAB"
"796",6,"Away","Duke","Duke","California","California"
"797",6,"Away","Florida Atlantic","Florida Atlantic","Rice","Rice"
"798",6,"Away","Illinois","Illinois","Purdue","Purdue"
"799",6,"Away","Miami","Miami","Florida State","Florida State"
"800",6,"Away","Kansas","Kansas","UCF","UCF"
"801",6,"Away","Eastern Michigan","Eastern Michigan","Buffalo","Buffalo"
"802",6,"Away","Texas Tech","Texas Tech","Houston","Houston"
"803",6,"Away","Virginia","Virginia","Louisville","Louisville"
"804",6,"Away","Mississippi State","Mississippi State","Texas A&M","Texas A&M"
"805",6,"Away","Boise State","Boise State","Notre Dame","Notre Dame"
"806",6,"Away","Central Michigan","Central Michigan","Akron","Akron"
"807",6,"Away","Kent State","Kent State","Oklahoma","Oklahoma"
"808",6,"Away","Tulsa","Tulsa","Memphis","Memphis"
"809",6,"Away","Campbell","Campbell","NC State","NC State"
"810",6,"Away","Clemson","Clemson","North Carolina","North Carolina"
"811",6,"Away","Texas State","Texas State","Arkansas State","Arkansas State"
"812",6,"Away","Kansas State","Kansas State","Baylor","Baylor"
"813",6,"Away","Nevada","Nevada","Fresno State","Fresno State"
"814",6,"Away","Boston College","Boston College","Pittsburgh","Pittsburgh"
"815",6,"Away","UTSA","UTSA","Temple","Temple"
"816",6,"Away","Minnesota","Minnesota","Ohio State","Ohio State"
"817",6,"Away","Florida International","Florida International","UConn","UConn"
"818",6,"Away","James Madison","James Madison","Georgia State","Georgia State"
"819",6,"Away","Michigan State","Michigan State","Nebraska","Nebraska"
"820",6,"Away","Wake Forest","Wake Forest","Virginia Tech","Virginia Tech"
"821",6,"Away","Oregon State","Oregon State","App State","App State"
"822",6,"Away","Wisconsin","Wisconsin","Michigan","Michigan"
"823",6,"Away","Syracuse","Syracuse","SMU","SMU"
"824",6,"Away","Kentucky","Kentucky","Georgia","Georgia"
"825",6,"Away","Western Michigan","Western Michigan","Massachusetts","Massachusetts"
"826",6,"Away","Miami (OH)","Miami (OH)","Northern Illinois","Northern Illinois"
"827",6,"Away","Coastal Carolina","Coastal Carolina","Old Dominion","Old Dominion"
"828",6,"Away","Oklahoma State","Oklahoma State","Arizona","Arizona"
"829",7,"Home","Middle Tennessee","Middle Tennessee","Missouri State","Missouri State"
"830",7,"Home","UTEP","UTEP","Liberty","Liberty"
"831",7,"Home","Georgia Southern","Georgia Southern","Southern Miss","Southern Miss"
"832",7,"Home","Sam Houston","Sam Houston","Jacksonville State","Jacksonville State"
"833",7,"Home","Tulane","Tulane","East Carolina","East Carolina"
"834",7,"Home","Kennesaw State","Kennesaw State","Louisiana Tech","Louisiana Tech"
"835",7,"Home","North Texas","North Texas","South Florida","South Florida"
"836",7,"Home","James Madison","James Madison","Louisiana","Louisiana"
"837",7,"Home","Michigan State","Michigan State","UCLA","UCLA"
